benchmark,solver,score
data/suite_500/QF_BV/20210219-Sydr/predicate_2175.smt2,cvc5::cvc5_bv_default,39.561
data/suite_500/QF_BV/20210219-Sydr/predicate_2175.smt2,cvc5::cvc5_bv_eager,27.829
data/suite_500/QF_BV/20210219-Sydr/predicate_2175.smt2,z3::z3_bv_default,1.347
data/suite_500/QF_BV/20210219-Sydr/predicate_2175.smt2,z3::z3_bv_eager,1.396
data/suite_500/QF_BV/20210219-Sydr/predicate_232.smt2,cvc5::cvc5_bv_default,1.619
data/suite_500/QF_BV/20210219-Sydr/predicate_232.smt2,cvc5::cvc5_bv_eager,1.63
data/suite_500/QF_BV/20210219-Sydr/predicate_232.smt2,z3::z3_bv_default,8.069
data/suite_500/QF_BV/20210219-Sydr/predicate_232.smt2,z3::z3_bv_eager,9.092
data/suite_500/QF_BV/20210219-Sydr/predicate_257.smt2,cvc5::cvc5_bv_default,0.577
data/suite_500/QF_BV/20210219-Sydr/predicate_257.smt2,cvc5::cvc5_bv_eager,0.638
data/suite_500/QF_BV/20210219-Sydr/predicate_257.smt2,z3::z3_bv_default,1.228
data/suite_500/QF_BV/20210219-Sydr/predicate_257.smt2,z3::z3_bv_eager,1.245
data/suite_500/QF_BV/20210219-Sydr/predicate_2589.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20210219-Sydr/predicate_2589.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20210219-Sydr/predicate_2589.smt2,z3::z3_bv_default,3.276
data/suite_500/QF_BV/20210219-Sydr/predicate_2589.smt2,z3::z3_bv_eager,3.311
data/suite_500/QF_BV/20210219-Sydr/predicate_2601.smt2,cvc5::cvc5_bv_default,5.275
data/suite_500/QF_BV/20210219-Sydr/predicate_2601.smt2,cvc5::cvc5_bv_eager,5.104
data/suite_500/QF_BV/20210219-Sydr/predicate_2601.smt2,z3::z3_bv_default,1.417
data/suite_500/QF_BV/20210219-Sydr/predicate_2601.smt2,z3::z3_bv_eager,1.481
data/suite_500/QF_BV/20210219-Sydr/predicate_2716.smt2,cvc5::cvc5_bv_default,0.166
data/suite_500/QF_BV/20210219-Sydr/predicate_2716.smt2,cvc5::cvc5_bv_eager,0.173
data/suite_500/QF_BV/20210219-Sydr/predicate_2716.smt2,z3::z3_bv_default,0.058
data/suite_500/QF_BV/20210219-Sydr/predicate_2716.smt2,z3::z3_bv_eager,0.064
data/suite_500/QF_BV/20210219-Sydr/predicate_2746.smt2,cvc5::cvc5_bv_default,120
